time_s,ordinate_values
10.26,6E-6
10.27,9E-6
10.28,1.3E-5
10.29,1.6E-5
10.3,1.8E-5
10.31,1.8E-5
10.32,1.7E-5
10.33,1.5E-5
10.34,1.2E-5
10.35,1E-5
10.36,9E-6
10.37,8E-6
10.38,7E-6
10.39,7E-6
10.4,7E-6
10.41,6E-6
10.42,5E-6
10.43,4E-6
10.44,3E-6
10.45,2E-6
10.46,1E-6
10.47,0
10.48,0
10.49,-1E-6
10.5,-2E-6
10.51,-3E-6
10.52,-3E-6
10.53,-2E-6
10.54,-1E-6
10.55,0
10.56,2E-6
10.57,2E-6
10.58,2E-6
10.59,1E-6
10.6,0
10.61,-2E-6
10.62,-4E-6
10.63,-5E-6
10.64,-5E-6
10.65,-5E-6
10.66,-4E-6
10.67,-3E-6
10.68,-3E-6
10.69,-2E-6
10.7,-2E-6
10.71,-2E-6
10.72,-2E-6
10.73,0
10.74,1E-6
10.75,5E-6
10.76,1E-5
10.77,1.5E-5
10.78,2E-5
10.79,2.3E-5
10.8,2.5E-5
10.81,2.5E-5
10.82,2.3E-5
10.83,2E-5
10.84,1.6E-5
10.85,1.2E-5
10.86,9E-6
10.87,7E-6
10.88,6E-6
10.89,6E-6
10.9,6E-6
10.91,7E-6
10.92,7E-6
10.93,7E-6
10.94,7E-6
10.95,7E-6
10.96,6E-6
10.97,5E-6
10.98,5E-6
10.99,6E-6
11,7E-6
11.01,9E-6
11.02,1.2E-5
11.03,1.5E-5
11.04,1.7E-5
11.05,1.9E-5
11.06,1.9E-5
11.07,1.9E-5
11.08,1.8E-5
11.09,1.7E-5
11.1,1.5E-5
11.11,1.3E-5
11.12,1.1E-5
11.13,8E-6
11.14,6E-6
11.15,4E-6
11.16,3E-6
11.17,2E-6
11.18,2E-6
11.19,3E-6
11.2,3E-6
11.21,3E-6
11.22,3E-6
11.23,4E-6
11.24,5E-6
11.25,6E-6
11.26,8E-6
11.27,1E-5
11.28,1.2E-5
11.29,1.3E-5
11.3,1.3E-5
11.31,1.3E-5
11.32,1.3E-5
11.33,1.2E-5
11.34,1.2E-5
11.35,1.3E-5
11.36,1.3E-5
11.37,1.4E-5
11.38,1.4E-5
11.39,1.4E-5
11.4,1.3E-5
11.41,1.2E-5
11.42,1E-5
11.43,9E-6
11.44,8E-6
11.45,7E-6
11.46,7E-6
11.47,7E-6
11.48,7E-6
11.49,6E-6
11.5,6E-6
11.51,5E-6
11.52,5E-6
11.53,6E-6
11.54,6E-6
11.55,7E-6
11.56,8E-6
11.57,9E-6
11.58,9E-6
11.59,1E-5
11.6,1.1E-5
11.61,1.1E-5
11.62,1.2E-5
11.63,1.3E-5
11.64,1.4E-5
11.65,1.4E-5
11.66,1.5E-5
11.67,1.5E-5
11.68,1.6E-5
11.69,1.6E-5
11.7,1.5E-5
11.71,1.3E-5
11.72,1.1E-5
11.73,8E-6
11.74,6E-6
11.75,6E-6
11.76,7E-6
11.77,1E-5
11.78,1.3E-5
11.79,1.5E-5
11.8,1.6E-5
11.81,1.5E-5
11.82,1.3E-5
11.83,1.1E-5
11.84,1E-5
11.85,1.1E-5
11.86,1.2E-5
11.87,1.3E-5
11.88,1.4E-5
11.89,1.4E-5
11.9,1.5E-5
11.91,1.7E-5
11.92,2E-5
11.93,2.5E-5
11.94,3.1E-5
11.95,3.6E-5
11.96,3.8E-5
11.97,3.8E-5
11.98,3.7E-5
11.99,3.5E-5
12,3.4E-5
12.01,3.5E-5
12.02,3.6E-5
12.03,3.7E-5
12.04,3.5E-5
12.05,3E-5
12.06,2.4E-5
12.07,1.7E-5
12.08,1.2E-5
12.09,9E-6
12.1,9E-6
12.11,1E-5
12.12,9E-6
12.13,5E-6
12.14,0
12.15,-7E-6
12.16,-1.3E-5
12.17,-1.4E-5
12.18,-9E-6
12.19,0
12.2,1E-5
12.21,1.7E-5
12.22,1.8E-5
12.23,1.4E-5
12.24,7E-6
12.25,2E-6
12.26,2E-6
12.27,8E-6
12.28,1.6E-5
12.29,2.3E-5
12.3,2.7E-5
12.31,2.5E-5
12.32,2E-5
12.33,1.3E-5
12.34,1E-5
12.35,1E-5
12.36,1.4E-5
12.37,1.9E-5
12.38,2.1E-5
12.39,1.9E-5
12.4,1.2E-5
12.41,4E-6
12.42,-1E-6
12.43,-2E-6
12.44,0
12.45,6E-6
12.46,1.2E-5
12.47,1.4E-5
12.48,1.1E-5
12.49,7E-6
12.5,5E-6
12.51,6E-6
12.52,1.1E-5
12.53,1.9E-5
12.54,2.5E-5
12.55,2.7E-5
12.56,2.5E-5
12.57,2.1E-5
12.58,1.8E-5
12.59,1.7E-5
12.6,2E-5
12.61,2.5E-5
12.62,2.9E-5
12.63,2.9E-5
12.64,2.7E-5
12.65,2.3E-5
12.66,1.9E-5
12.67,1.7E-5
12.68,1.9E-5
12.69,2.2E-5
12.7,2.5E-5
12.71,2.5E-5
12.72,2.3E-5
12.73,1.8E-5
12.74,1.3E-5
12.75,1.1E-5
12.76,1E-5
12.77,1.2E-5
12.78,1.4E-5
12.79,1.5E-5
12.8,1.5E-5
12.81,1.4E-5
12.82,1.3E-5
12.83,1.4E-5
12.84,1.6E-5
12.85,2E-5
12.86,2.3E-5
12.87,2.5E-5
12.88,2.6E-5
12.89,2.5E-5
12.9,2.3E-5
12.91,2.2E-5
12.92,2.2E-5
12.93,2.3E-5
12.94,2.2E-5
12.95,2E-5
12.96,1.7E-5
12.97,1.4E-5
12.98,1.2E-5
12.99,1.1E-5
13,1.3E-5
13.01,1.5E-5
13.02,1.8E-5
13.03,1.9E-5
13.04,1.9E-5
13.05,1.6E-5
13.06,1.4E-5
13.07,1.2E-5
13.08,1.2E-5
13.09,1.2E-5
13.1,1.2E-5
13.11,1.2E-5
13.12,1E-5
13.13,7E-6
13.14,4E-6
13.15,2E-6
13.16,0
13.17,1E-6
13.18,2E-6
13.19,3E-6
13.2,4E-6
13.21,4E-6
13.22,6E-6
13.23,8E-6
13.24,1.2E-5
13.25,1.6E-5
13.26,2.1E-5
13.27,2.5E-5
13.28,2.8E-5
13.29,3.1E-5
13.3,3.3E-5
13.31,3.7E-5
13.32,4.3E-5
13.33,5.1E-5
13.34,6E-5
13.35,6.9E-5
13.36,7.7E-5
13.37,8.5E-5
13.38,9.3E-5
13.39,1.05E-4
13.4,1.19E-4
13.41,1.35E-4
13.42,1.54E-4
13.43,1.73E-4
13.44,1.92E-4
13.45,2.1E-4
13.46,2.28E-4
13.47,2.45E-4
13.48,2.63E-4
13.49,2.81E-4
13.5,3.01E-4
13.51,3.2E-4
13.52,3.39E-4
