Deltat;T;DeltaT;pinj;pdet
0.05;163.344;41.82;259.77069;216.38195
0.04;163.713;41.697;259.78658;216.34689
0.05;164.082;41.697;259.80244;216.31188
0.04;164.328;41.82;259.81299;216.28858
0.05;164.574;41.943;259.82354;216.26529
0.05;164.943;41.82;259.83933;216.23041
0.05;165.189;41.697;259.84985;216.20718
0.04;165.435;41.697;259.86035;216.18398
0.05;165.681;41.943;259.87084;216.16081
0.05;165.927;41.943;259.88132;216.13765
0.04;166.173;42.066;259.89178;216.11452
0.05;166.542;42.189;259.90746;216.07987
0.05;166.788;42.312;259.91789;216.0568
0.04;167.157;42.189;259.93352;216.02224
0.05;167.403;42.312;259.94392;215.99922
0.05;167.772;42.312;259.9595;215.96475
0.04;168.018;42.435;259.96988;215.9418
0.05;168.264;42.435;259.98024;215.91886
0.05;168.51;42.435;259.99059;215.89596
0.05;168.633;42.681;259.99576;215.88451
0.04;169.002;42.558;260.01125;215.85021
0.05;169.248;42.558;260.02156;215.82738
0.04;169.494;42.558;260.03186;215.80456
0.05;169.74;42.558;260.04215;215.78177
0.05;169.986;42.558;260.05242;215.759
0.04;170.355;42.558;260.06781;215.7249
0.05;170.724;42.435;260.08318;215.69084
0.05;170.97;42.558;260.09341;215.66817
0.05;171.216;42.558;260.10362;215.64552
0.04;171.585;42.558;260.11892;215.61158
0.05;171.831;42.681;260.12911;215.58899
0.04;172.077;42.681;260.13928;215.56642
0.05;172.446;42.681;260.15452;215.53261
0.05;172.815;42.681;260.16973;215.49885
0.05;173.061;42.927;260.17985;215.47637
0.04;173.307;43.05;260.18997;215.45391
0.05;173.799;42.927;260.21016;215.40907
0.05;173.922;43.05;260.2152;215.39787
0.04;174.045;43.173;260.22024;215.38668
0.05;174.414;43.173;260.23533;215.35314
0.04;174.537;43.296;260.24036;215.34198
0.06;174.906;43.296;260.25542;215.30851
0.04;175.029;43.419;260.26043;215.29736
0.05;175.398;43.173;260.27545;215.26396
0.04;175.644;43.419;260.28545;215.24172
0.05;176.013;43.419;260.30043;215.20841
0.05;176.259;43.542;260.3104;215.18622
0.04;176.505;43.542;260.32036;215.16406
0.05;176.874;43.542;260.33528;215.13087
0.05;177.12;43.665;260.34521;215.10876
0.05;177.366;43.665;260.35513;215.08668
0.04;177.489;43.788;260.36009;215.07565
0.05;177.735;43.911;260.36999;215.05361
0.04;178.104;43.911;260.38482;215.02058
0.05;178.35;43.788;260.39469;214.99859
0.05;178.596;43.911;260.40455;214.97662
0.05;178.965;43.911;260.41932;214.94371
0.04;179.334;43.911;260.43406;214.91085
0.05;179.58;44.157;260.44388;214.88897
0.05;179.826;44.157;260.45368;214.86711
0.04;180.195;44.157;260.46836;214.83437
0.05;180.441;44.157;260.47813;214.81257
0.04;180.687;44.157;260.4879;214.79079
0.05;181.056;44.157;260.50252;214.75817
0.05;181.302;44.157;260.51225;214.73644
0.05;181.425;44.28;260.51711;214.72559
0.04;181.794;44.034;260.53168;214.69307
