Deltat;T;DeltaT;pinj;pdet
0.04;119.7159;0;257.68833;220.9176
0.05;119.9824;0;257.7024;220.88735
0.04;120.1956;0;257.71364;220.86317
0.05;120.4621;0;257.72767;220.83298
0.05;120.7286;0;257.74169;220.80283
0.04;120.9418;0;257.75289;220.77872
0.05;121.2083;0;257.76688;220.74863
0.04;121.4215;0;257.77806;220.72457
0.05;121.688;0;257.79201;220.69454
0.04;121.9012;0;257.80316;220.67053
0.05;122.1677;0;257.81708;220.64055
0.05;122.4342;0;257.83099;220.6106
0.04;122.6474;0;257.8421;220.58667
0.05;122.9139;0;257.85598;220.55678
0.05;123.1804;0;257.86983;220.52693
0.04;123.3936;0;257.88091;220.50307
0.05;123.6601;0;257.89473;220.47327
0.04;123.8733;0;257.90578;220.44946
0.05;124.1398;0;257.91957;220.41972
0.04;124.353;0;257.9306;220.39595
0.05;124.6195;0;257.94436;220.36627
0.04;124.8327;0;257.95536;220.34255
0.05;125.0992;0;257.96909;220.31293
0.05;125.3657;0;257.9828;220.28335
0.05;125.6322;0;257.9965;220.25379
0.04;125.8454;0;258.00745;220.23017
0.05;126.1119;0;258.02111;220.20067
0.05;126.3784;0;258.03476;220.17121
0.04;126.5916;0;258.04567;220.14766
0.05;126.8581;0;258.05929;220.11825
0.05;127.1246;0;258.07289;220.08887
0.04;127.3378;0;258.08376;220.0654
0.05;127.6043;0;258.09733;220.03608
0.04;127.8175;0;258.10817;220.01265
0.05;128.084;0;258.12171;219.98339
0.05;128.3505;0;258.13523;219.95416
0.04;128.5637;0;258.14604;219.93081
0.05;128.8302;0;258.15953;219.90164
0.05;129.0967;0;258.173;219.8725
0.04;129.3099;0;258.18377;219.84921
0.05;129.5764;0;258.19721;219.82013
0.04;129.7896;0;258.20796;219.79689
0.05;130.0561;0;258.22137;219.76787
0.05;130.3226;0;258.23477;219.73888
0.04;130.5358;0;258.24547;219.71571
0.05;130.8023;0;258.25884;219.68677
0.05;131.0688;0;258.27219;219.65787
0.04;131.282;0;258.28285;219.63477
0.05;131.5485;0;258.29617;219.60593
0.04;131.7617;0;258.30682;219.58287
0.05;132.0282;0;258.3201;219.55409
0.05;132.2947;0;258.33338;219.52533
0.04;132.5079;0;258.34398;219.50235
0.05;132.7744;0;258.35722;219.47365
0.04;132.9876;0;258.3678;219.45071
0.05;133.2541;0;258.38102;219.42207
0.05;133.5206;0;258.39421;219.39346
0.04;133.7338;0;258.40475;219.37059
0.05;134.0003;0;258.41792;219.34204
0.05;134.2668;0;258.43107;219.31351
0.04;134.48;0;258.44157;219.29072
0.05;134.7465;0;258.45469;219.26225
0.05;135.013;0;258.46779;219.23381
0.04;135.2262;0;258.47826;219.21109
0.05;135.4927;0;258.49133;219.18271
0.04;135.7059;0;258.50178;219.16003
0.05;135.9724;0;258.51482;219.1317
0.05;136.2389;0;258.52785;219.10341
0.04;136.4521;0;258.53826;219.0808
0.05;136.7186;0;258.55125;219.05256
0.05;136.9851;0;258.56423;219.02436
0.04;137.1983;0;258.5746;219.00182
0.05;137.4648;0;258.58755;218.97367
0.04;137.678;0;258.5979;218.95117
0.05;137.9445;0;258.61082;218.92308
0.05;138.211;0;258.62372;218.89502
0.04;138.4242;0;258.63403;218.87259
0.05;138.6907;0;258.64691;218.84458
0.05;138.9572;0;258.65977;218.8166
0.05;139.2237;0;258.67261;218.78866
0.04;139.4369;0;258.68287;218.76633
0.05;139.7034;0;258.69568;218.73844
0.04;139.9166;0;258.70592;218.71615
0.05;140.1831;0;258.7187;218.68831
0.05;140.4496;0;258.73147;218.66051
0.04;140.6628;0;258.74167;218.63829
0.05;140.9293;0;258.75441;218.61054
0.05;141.1958;0;258.76713;218.58282
0.04;141.409;0;258.7773;218.56067
0.05;141.6755;0;258.78999;218.533
0.04;141.8887;0;258.80013;218.51089
0.05;142.1552;0;258.81279;218.48329
0.05;142.4217;0;258.82544;218.45571
0.04;142.6349;0;258.83555;218.43367
0.05;142.9014;0;258.84817;218.40614
0.05;143.1679;0;258.86077;218.37865
0.04;143.3811;0;258.87084;218.35668
0.05;143.6476;0;258.88341;218.32924
0.04;143.8608;0;258.89346;218.30731
0.05;144.1273;0;258.906;218.27993
0.05;144.3938;0;258.91853;218.25257
0.04;144.607;0;258.92854;218.23071
0.05;144.8735;0;258.94105;218.20341
0.05;145.14;0;258.95353;218.17614
0.05;145.4065;0;258.966;218.1489
0.04;145.6197;0;258.97596;218.12713
0.05;145.8862;0;258.9884;218.09995
0.04;146.0994;0;258.99834;218.07822
0.05;146.3659;0;259.01075;218.05109
0.05;146.6324;0;259.02315;218.02399
0.04;146.8456;0;259.03305;218.00233
0.05;147.1121;0;259.04542;217.97528
0.05;147.3786;0;259.05777;217.94826
0.04;147.5918;0;259.06764;217.92667
0.05;147.8583;0;259.07996;217.89971
0.04;148.0715;0;259.08981;217.87816
0.05;148.338;0;259.10211;217.85125
0.05;148.6045;0;259.11439;217.82437
0.04;148.8177;0;259.1242;217.80288
0.05;149.0842;0;259.13645;217.77605
0.05;149.3507;0;259.14868;217.74926
0.04;149.5639;0;259.15846;217.72784
0.05;149.8304;0;259.17067;217.7011
